Date,Open,High,Low,Close,Adj Close,Volume
2022-11-11,75.635002,75.692497,74.879997,75.014999,75.014999,119619
2022-11-14,75.557503,75.790001,75.297501,75.682503,75.682503,74996
2022-11-15,75.562500,76.635010,75.477501,76.275002,76.275002,307224
2022-11-16,76.002502,76.047501,75.132507,75.334999,75.334999,161389
2022-11-17,75.504997,75.552902,74.122498,74.432503,74.432503,91448
2022-11-18,74.887497,75.652496,74.764999,75.147499,75.147499,107191
2022-11-21,74.967499,75.207497,74.775002,74.857498,74.857498,55197
2022-11-22,74.985001,75.592499,74.812500,75.480003,75.480003,48809
2022-11-23,76.112503,76.517502,75.930000,76.394997,76.394997,105864
2022-11-24,76.587502,76.779999,76.557510,76.652496,76.652496,129611
2022-11-25,76.620003,76.714996,76.332497,76.458748,76.458748,21222
2022-11-28,76.032501,76.167511,75.699997,75.732498,75.732498,82726
2022-11-29,75.584999,75.681396,74.805008,74.897499,74.897499,147897
2022-11-30,75.287498,75.437500,74.834999,75.162498,75.162498,143070
2022-12-01,77.535004,77.919998,76.957497,77.367500,77.367500,284188
2022-12-02,77.324997,77.507507,76.157501,76.964996,76.964996,42448
2022-12-05,77.125000,77.177513,76.362503,76.362503,76.362503,82863
2022-12-06,75.989998,76.177513,75.000000,75.192497,75.192497,87709
2022-12-07,74.892502,75.160004,74.300003,74.632500,74.632500,135366
2022-12-08,74.862503,75.497498,74.772507,75.184998,75.184998,54691
2022-12-09,75.582497,75.775009,74.632500,75.455002,75.455002,482846
2022-12-12,74.690002,75.190002,74.660004,75.059998,75.059998,82602
2022-12-13,75.907501,78.500000,75.792503,77.067497,77.067497,114907
2022-12-14,76.472504,76.962509,76.230003,76.925003,76.925003,81557
2022-12-15,75.275002,75.347504,73.729698,73.837502,73.837502,142464
2022-12-16,73.587502,73.684998,72.667503,72.817497,72.817497,322318
2022-12-19,73.065002,73.317497,72.452499,72.452499,72.452499,120332
2022-12-20,71.812500,72.687500,71.732498,72.175003,72.175003,79780
2022-12-21,72.742500,73.632507,72.544998,73.550003,73.550003,112837
2022-12-22,73.595001,73.735001,72.044998,72.127502,72.127502,170752
2022-12-23,72.467499,72.779999,72.349998,72.602501,72.602501,24698
2022-12-28,72.779999,72.932510,72.042503,72.099998,72.099998,107136
2022-12-29,71.860001,72.919998,71.757500,72.919998,72.919998,54233
2022-12-30,72.617500,72.775009,72.452904,72.548752,72.548752,13876
2023-01-03,73.152496,73.602509,72.177498,72.177498,72.177498,204628
2023-01-04,72.662498,73.197502,72.330002,73.197502,73.197502,99259
2023-01-05,72.807503,73.212502,72.050003,72.154999,72.154999,67510
2023-01-06,72.250000,73.402496,72.000000,73.337502,73.337502,287666
2023-01-09,73.864998,74.875000,73.835999,74.760002,74.760002,155554
2023-01-10,73.662498,74.177513,73.377502,73.750000,73.750000,40532
2023-01-11,74.224998,74.740013,74.212509,74.690002,74.690002,50470
2023-01-12,75.202499,75.839996,72.800003,75.165001,75.165001,105613
2023-01-13,75.442497,75.565002,74.750000,75.237503,75.237503,50943
2023-01-16,75.720001,75.997498,75.387497,75.757500,75.757500,20721
2023-01-17,75.580002,76.122498,75.500000,75.652496,75.652496,1220794
2023-01-18,75.794998,76.102509,75.067497,75.067497,75.067497,1959246
2023-01-19,74.342499,74.475014,73.714996,73.739998,73.739998,794480
2023-01-20,74.192497,74.602501,73.900002,74.602501,74.602501,27682
2023-01-23,75.297501,76.430008,75.169998,76.260002,76.260002,27246
2023-01-24,76.207497,76.230011,75.650002,76.055000,76.055000,16543
2023-01-25,75.962502,76.002502,74.872498,75.332497,75.332497,42608
2023-01-26,76.377502,76.824997,76.105011,76.324997,76.324997,89272
2023-01-27,76.760002,77.317497,76.657501,77.144997,77.144997,23271
2023-01-30,76.737503,77.044998,76.349998,76.680000,76.680000,80485
2023-01-31,76.332497,76.722504,75.737503,76.702499,76.702499,188830
2023-02-01,77.110001,77.272499,76.832497,77.082497,77.082497,153777
2023-02-02,78.324997,79.342499,78.315002,79.309998,79.309998,178683
2023-02-03,78.677498,79.307503,78.197510,79.307503,79.307503,417582
